,﻿id,device,timestamp,BSSID,SSID,autoJoinStatus,blackListTimestamp,capabilities,distanceCm,distanceSdCm,frequency,isAutoJoinCandidate,level,numConnection,numIpConfigFailures,numUsage,seen,timestamp.1,tsf,untrusted,wifiSsid_octets_buf,wifiSsid_octets_count
131296,2e3bf3c4-0499-47ac-8eb4-658113782a6b-3,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688076.56,e8:4e:84:13:25:ca,BuT6-R1QtSTkxOTU,0,0,[ESS],-1,-1,2437,0,-89,0,0,0,1450688076543,1450688076.56,5662646897,True,66,16
131328,2e3bf3c4-0499-47ac-8eb4-658113782a6b-4,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688379.62,64:66:b3:94:9a:9a,Acetravels.comMaharajgunj,0,0,[WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2422,0,-85,0,0,0,1450688379606,1450688379.62,5965710362,True,65,25
131360,2e3bf3c4-0499-47ac-8eb4-658113782a6b-5,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.4,e8:94:f6:eb:fe:04,IGRESOURCES,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2457,0,-83,0,0,0,1450688677383,1450688677.4,6263482987,True,73,11
131392,2e3bf3c4-0499-47ac-8eb4-658113782a6b-6,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.4,ac:9e:17:50:ea:18,voguebeautysaloon,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2472,0,-78,0,0,0,1450688677383,1450688677.4,6263482987,True,118,17
131424,2e3bf3c4-0499-47ac-8eb4-658113782a6b-7,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.4,c8:3a:35:3a:7a:11,FOUNDATION,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2452,0,-65,0,0,0,1450688677383,1450688677.4,6263482956,True,70,10
131456,2e3bf3c4-0499-47ac-8eb4-658113782a6b-8,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.4,00:1f:1f:08:63:0d,Default,0,0,[ESS],-1,-1,2437,0,-73,0,0,0,1450688677384,1450688677.4,6255143020,True,68,7
131488,2e3bf3c4-0499-47ac-8eb4-658113782a6b-9,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.4,c4:e9:84:fd:8c:e6,SUBITA NEUPANE,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2452,0,-79,0,0,0,1450688677384,1450688677.4,6263482987,True,83,14
131552,2e3bf3c4-0499-47ac-8eb4-658113782a6b-11,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.4,e8:94:f6:64:57:8a,sweet home,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-88,0,0,0,1450688677385,1450688677.4,6263482987,True,115,10
131584,2e3bf3c4-0499-47ac-8eb4-658113782a6b-12,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.4,e0:3f:49:3e:c4:c0,Wonderland,0,0,[WPA-PSK-TKIP][ESS],-1,-1,2412,0,-90,0,0,0,1450688677385,1450688677.4,6263483017,True,87,10
131616,2e3bf3c4-0499-47ac-8eb4-658113782a6b-13,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.4,f8:1a:67:df:10:34,Barrons ,0,0,[WPA2-PSK-TKIP][WPS][ESS],-1,-1,2412,0,-88,0,0,0,1450688677385,1450688677.4,6263483017,True,66,8
131648,2e3bf3c4-0499-47ac-8eb4-658113782a6b-14,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.41,e8:de:27:ba:7c:46,grg,0,0,[WPA2-PSK-CCMP][WPS][ESS],-1,-1,2452,0,-88,0,0,0,1450688677386,1450688677.41,6263483017,True,103,3
131680,2e3bf3c4-0499-47ac-8eb4-658113782a6b-15,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450688677.41,c8:3a:35:0c:d5:d1,Tenda_0CD5D1,0,0,[WPA-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2462,0,-90,0,0,0,1450688677386,1450688677.41,6263483017,True,84,12
131808,2e3bf3c4-0499-47ac-8eb4-658113782a6b-19,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450689032.01,04:8d:38:88:48:2c,Ghar,0,0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-1,-1,2447,0,-75,0,0,0,1450689031894,1450689032.01,6617984223,True,71,4
131840,2e3bf3c4-0499-47ac-8eb4-658113782a6b-20,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450689032.01,d8:eb:97:21:f4:ca,Daisy,0,0,[WPA-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-88,0,0,0,1450689031895,1450689032.01,6617984284,True,68,5
131872,2e3bf3c4-0499-47ac-8eb4-658113782a6b-21,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450689032.01,a8:32:9a:00:88:40,September30,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2452,0,-82,0,0,0,1450689031895,1450689032.01,6617984284,True,83,11
131968,2e3bf3c4-0499-47ac-8eb4-658113782a6b-24,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450689032.01,c8:3a:35:11:9f:81,Tenda_119F80,0,0,[WPA-PSK-CCMP+TKIP][ESS],-1,-1,2412,0,-85,0,0,0,1450689031896,1450689032.01,6617984253,True,84,12
132032,2e3bf3c4-0499-47ac-8eb4-658113782a6b-26,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450689271.86,30:b5:c2:8b:c1:75,piplink wi- fi,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-79,0,0,0,1450689271821,1450689271.86,6852328645,True,112,14
132064,2e3bf3c4-0499-47ac-8eb4-658113782a6b-27,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450689271.87,10:fe:ed:0c:91:84,princess,0,0,[WPA2-PSK-CCMP][WPS][ESS],-1,-1,2462,0,-82,0,0,0,1450689271821,1450689271.87,6857980805,True,112,8
132096,2e3bf3c4-0499-47ac-8eb4-658113782a6b-28,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450689271.87,e8:de:27:35:b1:c2,WHy c@n'T ! ???,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2462,0,-83,0,0,0,1450689271822,1450689271.87,6857980774,True,87,15
